Date/Time,Year,Month,Day,Time,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
2018-01-01 0:00,2018,1,1,0:00,-16.9,,-21.1,,70,,,M,,M,,,101.64,,,,,,NA
2018-01-01 1:00,2018,1,1,1:00,-16.3,,-20.6,,69,,,M,,M,,,101.61,,,,,,NA
2018-01-01 2:00,2018,1,1,2:00,-17.6,,-21.5,,71,,,M,,M,,,101.67,,,,,,NA
2018-01-01 3:00,2018,1,1,3:00,-18.6,,-22,,75,,,M,,M,,,101.63,,,,,,NA
2018-01-01 4:00,2018,1,1,4:00,-17.8,,-21.1,,75,,,M,,M,,,101.6,,,,,,NA
2018-01-01 5:00,2018,1,1,5:00,-17.1,,-20,,78,,,M,,M,,,101.55,,,,,,NA
2018-01-01 6:00,2018,1,1,6:00,-15.7,,-19.3,,74,,,M,,M,,,101.5,,,,,,NA
2018-01-01 7:00,2018,1,1,7:00,-13.9,,-17.2,,76,,,M,,M,,,101.43,,,,,,NA
2018-01-01 8:00,2018,1,1,8:00,-13.9,,-17.2,,76,,,M,,M,,,101.4,,,,,,NA
2018-01-01 9:00,2018,1,1,9:00,-13.7,,-17.5,,73,,,M,,M,,,101.35,,,,,,NA
2018-01-01 10:00,2018,1,1,10:00,-11.3,,-16.7,,65,,,M,,M,,,101.34,,,,,,NA
2018-01-01 11:00,2018,1,1,11:00,-9.3,,-16.1,,58,,,M,,M,,,101.32,,,,,,NA
2018-01-01 12:00,2018,1,1,12:00,-9.5,,-16.3,,57,,,M,,M,,,101.23,,,,,,NA
2018-01-01 13:00,2018,1,1,13:00,-8.6,,-15.9,,55,,,M,,M,,,101.14,,,,,,NA
2018-01-01 14:00,2018,1,1,14:00,-8.2,,-15.5,,56,,,M,,M,,,101.09,,,,,,NA
2018-01-01 15:00,2018,1,1,15:00,-8.9,,-13.6,,69,,,M,,M,,,101.14,,,,,,NA
2018-01-01 16:00,2018,1,1,16:00,-9.6,,-18,,50,,,M,,M,,,101.21,,,,,,NA
2018-01-01 17:00,2018,1,1,17:00,-10.8,,-17.1,,60,,,M,,M,,,101.26,,,,,,NA
2018-01-01 18:00,2018,1,1,18:00,-11.4,,-18,,58,,,M,,M,,,101.35,,,,,,NA
