Date/Time,Year,Month,Day,Time,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
2018-02-01 0:00,2018,2,1,0:00,1.8,,-2.6,,72,,,M,,M,,,99.24,,,,,,NA
2018-02-01 1:00,2018,2,1,1:00,1.4,,-3.6,,69,,,M,,M,,,99.21,,,,,,NA
2018-02-01 2:00,2018,2,1,2:00,1.5,,-3.3,,70,,,M,,M,,,99.24,,,,,,NA
2018-02-01 3:00,2018,2,1,3:00,1.4,,-2.7,,74,,,M,,M,,,99.26,,,,,,NA
2018-02-01 4:00,2018,2,1,4:00,1.1,,-3.5,,72,,,M,,M,,,99.23,,,,,,NA
2018-02-01 5:00,2018,2,1,5:00,1.1,,-2.5,,77,,,M,,M,,,99.25,,,,,,NA
2018-02-01 6:00,2018,2,1,6:00,1.4,,-2.3,,76,,,M,,M,,,99.22,,,,,,NA
2018-02-01 7:00,2018,2,1,7:00,1.5,,-2.1,,76,,,M,,M,,,99.21,,,,,,NA
2018-02-01 8:00,2018,2,1,8:00,1.2,,-2.4,,77,,,M,,M,,,99.18,,,,,,NA
2018-02-01 9:00,2018,2,1,9:00,1.7,,-2.7,,72,,,M,,M,,,99.23,,,,,,NA
2018-02-01 10:00,2018,2,1,10:00,3.5,,-3.2,,62,,,M,,M,,,99.19,,,,,,NA
2018-02-01 11:00,2018,2,1,11:00,4.1,,-2.4,,63,,,M,,M,,,99.18,,,,,,NA
2018-02-01 12:00,2018,2,1,12:00,5.3,,-3.5,,53,,,M,,M,,,99.16,,,,,,NA
2018-02-01 13:00,2018,2,1,13:00,4.8,,-4.9,,49,,,M,,M,,,99.17,,,,,,NA
2018-02-01 14:00,2018,2,1,14:00,3.2,,-4.3,,58,,,M,,M,,,99.23,,,,,,NA
2018-02-01 15:00,2018,2,1,15:00,0.8,,-4.9,,65,,,M,,M,,,99.35,,,,,,NA
2018-02-01 16:00,2018,2,1,16:00,-1.2,,-6.5,,68,,,M,,M,,,99.53,,,,,,NA
2018-02-01 17:00,2018,2,1,17:00,-2.4,,-9.8,,57,,,M,,M,,,99.65,,,,,,NA
2018-02-01 18:00,2018,2,1,18:00,-4.2,,-12,,54,,,M,,M,,,99.82,,,,,,NA
2018-02-01 19:00,2018,2,1,19:00,-5.1,,-12.6,,56,,,M,,M,,,99.97,,,,,,NA
2018-02-01 20:00,2018,2,1,20:00,-6.3,,-14.4,,52,,,M,,M,,,100.08,,,,,,NA
2018-02-01 21:00,2018,2,1,21:00,-7.1,,-14.5,,56,,,M,,M,,,100.17,,,,,,NA
2018-02-01 22:00,2018,2,1,22:00,-7.7,,-14.2,,60,,,M,,M,,,100.27,,,,,,NA
2018-02-01 23:00,2018,2,1,23:00,-8,,-14.4,,60,,,M,,M,,,100.33,,,,,,NA
2018-02-02 0:00,2018,2,2,0:00,-8.4,,-14.3,,63,,,M,,M,,,100.37,,,,,,NA
2018-02-02 1:00,2018,2,2,1:00,-8.8,,-14,,66,,,M,,M,,,100.39,,,,,,NA
2018-02-02 2:00,2018,2,2,2:00,-9,,-14.4,,65,,,M,,M,,,100.41,,,,,,NA
2018-02-02 3:00,2018,2,2,3:00,-8.9,,-14.1,,66,,,M,,M,,,100.46,,,,,,NA
2018-02-02 4:00,2018,2,2,4:00,-9.3,,-14.2,,68,,,M,,M,,,100.48,,,,,,NA
2018-02-02 5:00,2018,2,2,5:00,-10.7,,-16.7,,61,,,M,,M,,,100.6,,,,,,NA
2018-02-02 6:00,2018,2,2,6:00,-12,,-18.1,,60,,,M,,M,,,100.72,,,,,,NA
2018-02-02 7:00,2018,2,2,7:00,-13.2,,-19.2,,60,,,M,,M,,,100.84,,,,,,NA
2018-02-02 8:00,2018,2,2,8:00,-14.3,,-20.4,,60,,,M,,M,,,100.98,,,,,,NA
2018-02-02 9:00,2018,2,2,9:00,-14.9,,-21.6,,57,,,M,,M,,,101.1,,,,,,NA
2018-02-02 10:00,2018,2,2,10:00,-14,,-21.5,,53,,,M,,M,,,101.18,,,,,,NA
2018-02-02 11:00,2018,2,2,11:00,-13,,-21.2,,50,,,M,,M,,,101.22,,,,,,NA
2018-02-02 12:00,2018,2,2,12:00,-11.8,,-19.8,,51,,,M,,M,,,101.25,,,,,,NA
2018-02-02 13:00,2018,2,2,13:00,-11.3,,-20.8,,46,,,M,,M,,,101.24,,,,,,NA
2018-02-02 14:00,2018,2,2,14:00,-10.5,,-20.2,,45,,,M,,M,,,101.19,,,,,,NA
2018-02-02 15:00,2018,2,2,15:00,-10.2,,-20.6,,42,,,M,,M,,,101.17,,,,,,NA
2018-02-02 16:00,2018,2,2,16:00,-9.9,,-21.4,,38,,,M,,M,,,101.18,,,,,,NA
2018-02-02 17:00,2018,2,2,17:00,-9.9,,-21.1,,39,,,M,,M,,,101.21,,,,,,NA
2018-02-02 18:00,2018,2,2,18:00,-9.5,,-19.9,,42,,,M,,M,,,101.24,,,,,,NA
2018-02-02 19:00,2018,2,2,19:00,-9.6,,-18,,50,,,M,,M,,,101.24,,,,,,NA
2018-02-02 20:00,2018,2,2,20:00,-9.5,,-15.9,,60,,,M,,M,,,101.19,,,,,,NA
2018-02-02 21:00,2018,2,2,21:00,-9.5,,-14.5,,67,,,M,,M,,,101.16,,,,,,NA
2018-02-02 22:00,2018,2,2,22:00,-9,,-13.4,,70,,,M,,M,,,101.12,,,,,,NA
2018-02-02 23:00,2018,2,2,23:00,-8.7,,-14.9,,61,,,M,,M,,,101.06,,,,,,NA
2018-02-03 0:00,2018,2,3,0:00,-8.8,,-15,,61,,,M,,M,,,101.03,,,,,,NA
2018-02-03 1:00,2018,2,3,1:00,-8.6,,-14.6,,62,,,M,,M,,,101.02,,,,,,NA
2018-02-03 2:00,2018,2,3,2:00,-8.7,,-13.8,,67,,,M,,M,,,100.99,,,,,,NA
2018-02-03 3:00,2018,2,3,3:00,-8.4,,-14.7,,60,,,M,,M,,,100.96,,,,,,NA
2018-02-03 4:00,2018,2,3,4:00,-8.7,,-14.1,,65,,,M,,M,,,100.95,,,,,,NA
2018-02-03 5:00,2018,2,3,5:00,-8.7,,-14.9,,60,,,M,,M,,,100.94,,,,,,NA
2018-02-03 6:00,2018,2,3,6:00,-9.1,,-14.2,,66,,,M,,M,,,100.94,,,,,,NA
2018-02-03 7:00,2018,2,3,7:00,-9.5,,-14.3,,68,,,M,,M,,,100.96,,,,,,NA
2018-02-03 8:00,2018,2,3,8:00,-9.4,,-13.8,,71,,,M,,M,,,100.97,,,,,,NA
2018-02-03 9:00,2018,2,3,9:00,-8.7,,-13.1,,71,,,M,,M,,,100.98,,,,,,NA
2018-02-03 10:00,2018,2,3,10:00,-7.6,,-12.6,,68,,,M,,M,,,100.96,,,,,,NA
2018-02-03 11:00,2018,2,3,11:00,-6.6,,-11.5,,68,,,M,,M,,,100.92,,,,,,NA
2018-02-03 12:00,2018,2,3,12:00,-5.5,,-11.7,,62,,,M,,M,,,100.84,,,,,,NA
2018-02-03 13:00,2018,2,3,13:00,-4.9,,-11.5,,60,,,M,,M,,,100.73,,,,,,NA
