Date/Time,Year,Month,Day,Time,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
2018-04-01 0:00,2018,4,1,0:00,2.5,,-2.7,,68,,,M,,M,,,99.64,,,,,,NA
2018-04-01 1:00,2018,4,1,1:00,0.6,,-4.9,,67,,,M,,M,,,99.82,,,,,,NA
2018-04-01 2:00,2018,4,1,2:00,-0.1,,-6.7,,61,,,M,,M,,,99.96,,,,,,NA
2018-04-01 3:00,2018,4,1,3:00,-0.7,,-8.5,,55,,,M,,M,,,100.09,,,,,,NA
2018-04-01 4:00,2018,4,1,4:00,-0.8,,-8.4,,57,,,M,,M,,,100.22,,,,,,NA
2018-04-01 5:00,2018,4,1,5:00,-1.9,,-10.3,,53,,,M,,M,,,100.33,,,,,,NA
2018-04-01 6:00,2018,4,1,6:00,-2.4,,-10.8,,52,,,M,,M,,,100.44,,,,,,NA
2018-04-01 7:00,2018,4,1,7:00,-2.2,,-10.1,,55,,,M,,M,,,100.52,,,,,,NA
2018-04-01 8:00,2018,4,1,8:00,-0.9,,-9,,54,,,M,,M,,,100.56,,,,,,NA
2018-04-01 9:00,2018,4,1,9:00,0.2,,-10,,46,,,M,,M,,,100.6,,,,,,NA
2018-04-01 10:00,2018,4,1,10:00,0.8,,-11.1,,41,,,M,,M,,,100.66,,,,,,NA
2018-04-01 11:00,2018,4,1,11:00,2.2,,-10.5,,38,,,M,,M,,,100.68,,,,,,NA
2018-04-01 12:00,2018,4,1,12:00,2.6,,-11.1,,36,,,M,,M,,,100.66,,,,,,NA
2018-04-01 13:00,2018,4,1,13:00,3.7,,-10.6,,34,,,M,,M,,,100.64,,,,,,NA
2018-04-01 14:00,2018,4,1,14:00,3.9,,-10.7,,34,,,M,,M,,,100.6,,,,,,NA
2018-04-01 15:00,2018,4,1,15:00,4.1,,-11.7,,31,,,M,,M,,,100.58,,,,,,NA
2018-04-01 16:00,2018,4,1,16:00,2.8,,-12.1,,32,,,M,,M,,,100.58,,,,,,NA
2018-04-01 17:00,2018,4,1,17:00,2.7,,-12,,33,,,M,,M,,,100.58,,,,,,NA
2018-04-01 18:00,2018,4,1,18:00,1.7,,-12.1,,35,,,M,,M,,,100.61,,,,,,NA
2018-04-01 19:00,2018,4,1,19:00,1,,-11.6,,39,,,M,,M,,,100.56,,,,,,NA
2018-04-01 20:00,2018,4,1,20:00,0.3,,-10.8,,43,,,M,,M,,,100.56,,,,,,NA
2018-04-01 21:00,2018,4,1,21:00,0.5,,-10.7,,43,,,M,,M,,,100.56,,,,,,NA
2018-04-01 22:00,2018,4,1,22:00,0.5,,-10.6,,43,,,M,,M,,,100.55,,,,,,NA
2018-04-01 23:00,2018,4,1,23:00,0.7,,-10,,45,,,M,,M,,,100.51,,,,,,NA
2018-04-02 0:00,2018,4,2,0:00,0.6,,-9.1,,48,,,M,,M,,,100.46,,,,,,NA
2018-04-02 1:00,2018,4,2,1:00,0.2,,-8.2,,53,,,M,,M,,,100.41,,,,,,NA
2018-04-02 2:00,2018,4,2,2:00,-0.1,,-6.6,,62,,,M,,M,,,100.39,,,,,,NA
2018-04-02 3:00,2018,4,2,3:00,0.4,,-5.1,,67,,,M,,M,,,100.4,,,,,,NA
2018-04-02 4:00,2018,4,2,4:00,0.2,,-5.2,,67,,,M,,M,,,100.42,,,,,,NA
2018-04-02 5:00,2018,4,2,5:00,-0.2,,-4.8,,71,,,M,,M,,,100.47,,,,,,NA
2018-04-02 6:00,2018,4,2,6:00,-0.7,,-5.5,,70,,,M,,M,,,100.49,,,,,,NA
2018-04-02 7:00,2018,4,2,7:00,-0.7,,-4.9,,73,,,M,,M,,,100.51,,,,,,NA
2018-04-02 8:00,2018,4,2,8:00,0.7,,-5.8,,62,,,M,,M,,,100.55,,,,,,NA
2018-04-02 9:00,2018,4,2,9:00,1.8,,-5.9,,56,,,M,,M,,,100.59,,,,,,NA
2018-04-02 10:00,2018,4,2,10:00,2.5,,-7.1,,49,,,M,,M,,,100.6,,,,,,NA
2018-04-02 11:00,2018,4,2,11:00,3.9,,-6.6,,46,,,M,,M,,,100.6,,,,,,NA
2018-04-02 12:00,2018,4,2,12:00,4.4,,-6.9,,44,,,M,,M,,,100.54,,,,,,NA
2018-04-02 13:00,2018,4,2,13:00,5,,-7.6,,40,,,M,,M,,,100.55,,,,,,NA
2018-04-02 14:00,2018,4,2,14:00,4.9,,-9.9,,34,,,M,,M,,,100.47,,,,,,NA
