Date/Time,Year,Month,Day,Time,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
2018-07-01 0:00,2018,7,1,0:00,26.6,,20.1,,68,,,M,,M,,,100.11,,34,,,,NA
2018-07-01 1:00,2018,7,1,1:00,25.2,,20.3,,74,,,M,,M,,,100.24,,33,,,,NA
2018-07-01 2:00,2018,7,1,2:00,25.1,,20.8,,77,,,M,,M,,,100.27,,33,,,,NA
2018-07-01 3:00,2018,7,1,3:00,24.2,,20.2,,78,,,M,,M,,,100.22,,32,,,,NA
2018-07-01 4:00,2018,7,1,4:00,24.1,,20,,78,,,M,,M,,,100.21,,32,,,,NA
2018-07-01 5:00,2018,7,1,5:00,23,,19.8,,82,,,M,,M,,,100.24,,30,,,,NA
2018-07-01 6:00,2018,7,1,6:00,23.4,,19.9,,81,,,M,,M,,,100.25,,31,,,,NA
2018-07-01 7:00,2018,7,1,7:00,24.5,,20,,76,,,M,,M,,,100.28,,32,,,,NA
2018-07-01 8:00,2018,7,1,8:00,26,,19.9,,69,,,M,,M,,,100.29,,33,,,,NA
2018-07-01 9:00,2018,7,1,9:00,27.3,,20.4,,66,,,M,,M,,,100.28,,35,,,,NA
2018-07-01 10:00,2018,7,1,10:00,27.6,,19.9,,63,,,M,,M,,,100.29,,35,,,,NA
2018-07-01 11:00,2018,7,1,11:00,29.3,,20.6,,59,,,M,,M,,,100.23,,37,,,,NA
2018-07-01 12:00,2018,7,1,12:00,30.4,,20.8,,57,,,M,,M,,,100.2,,39,,,,NA
2018-07-01 13:00,2018,7,1,13:00,31.7,,21.5,,55,,,M,,M,,,100.16,,41,,,,NA
2018-07-01 14:00,2018,7,1,14:00,32.5,,20.8,,50,,,M,,M,,,100.13,,41,,,,NA
2018-07-01 15:00,2018,7,1,15:00,31.6,,18.5,,46,,,M,,M,,,100.1,,38,,,,NA
2018-07-01 16:00,2018,7,1,16:00,31.4,,17.1,,42,,,M,,M,,,100.05,,37,,,,NA
2018-07-01 17:00,2018,7,1,17:00,31.4,,15.1,,37,,,M,,M,,,100,,35,,,,NA
2018-07-01 18:00,2018,7,1,18:00,30.9,,17,,43,,,M,,M,,,99.98,,36,,,,NA
2018-07-01 19:00,2018,7,1,19:00,29.6,,17.7,,49,,,M,,M,,,99.99,,35,,,,NA
2018-07-01 20:00,2018,7,1,20:00,27.8,,17.8,,54,,,M,,M,,,99.98,,34,,,,NA
2018-07-01 21:00,2018,7,1,21:00,27.8,,18.6,,58,,,M,,M,,,100.02,,34,,,,NA
2018-07-01 22:00,2018,7,1,22:00,27.4,,19,,60,,,M,,M,,,100.06,,34,,,,NA
2018-07-01 23:00,2018,7,1,23:00,26.7,,18.7,,61,,,M,,M,,,100.06,,33,,,,NA
2018-07-02 0:00,2018,7,2,0:00,25.9,,18.1,,62,,,M,,M,,,100.05,,32,,,,NA
2018-07-02 1:00,2018,7,2,1:00,25.6,,18.2,,64,,,M,,M,,,100,,32,,,,NA
2018-07-02 2:00,2018,7,2,2:00,25,,18.7,,68,,,M,,M,,,99.97,,32,,,,NA
2018-07-02 3:00,2018,7,2,3:00,24.6,,18.9,,71,,,M,,M,,,99.96,,31,,,,NA
2018-07-02 4:00,2018,7,2,4:00,24.5,,19.1,,72,,,M,,M,,,99.96,,31,,,,NA
2018-07-02 5:00,2018,7,2,5:00,24.5,,19.5,,74,,,M,,M,,,99.99,,32,,,,NA
2018-07-02 6:00,2018,7,2,6:00,24.5,,20,,76,,,M,,M,,,100.01,,32,,,,NA
2018-07-02 7:00,2018,7,2,7:00,25.6,,20.1,,72,,,M,,M,,,100.05,,33,,,,NA
2018-07-02 8:00,2018,7,2,8:00,27.1,,20.1,,66,,,M,,M,,,100.07,,35,,,,NA
2018-07-02 9:00,2018,7,2,9:00,28.5,,20.1,,61,,,M,,M,,,100.08,,36,,,,NA
2018-07-02 10:00,2018,7,2,10:00,29.6,,21,,60,,,M,,M,,,100.12,,38,,,,NA
2018-07-02 11:00,2018,7,2,11:00,30.5,,20.8,,56,,,M,,M,,,100.13,,39,,,,NA
2018-07-02 12:00,2018,7,2,12:00,31,,21.1,,55,,,M,,M,,,100.11,,40,,,,NA
2018-07-02 13:00,2018,7,2,13:00,30.5,,21.4,,58,,,M,,M,,,100.09,,39,,,,NA
2018-07-02 14:00,2018,7,2,14:00,31.3,,21.5,,56,,,M,,M,,,100.09,,40,,,,NA
2018-07-02 15:00,2018,7,2,15:00,27.9,,18.3,,56,,,M,,M,,,100.09,,34,,,,NA
2018-07-02 16:00,2018,7,2,16:00,28.7,,18.9,,55,,,M,,M,,,100.09,,35,,,,NA
2018-07-02 17:00,2018,7,2,17:00,27.8,,21.8,,70,,,M,,M,,,100.12,,37,,,,NA
2018-07-02 18:00,2018,7,2,18:00,28.9,,21.7,,65,,,M,,M,,,100.15,,38,,,,NA
2018-07-02 19:00,2018,7,2,19:00,29.5,,19.1,,53,,,M,,M,,,100.27,,36,,,,NA
2018-07-02 20:00,2018,7,2,20:00,27.9,,17.9,,55,,,M,,M,,,100.38,,34,,,,NA
2018-07-02 21:00,2018,7,2,21:00,26.2,,16.7,,56,,,M,,M,,,100.51,,31,,,,NA
2018-07-02 22:00,2018,7,2,22:00,24.9,,15.5,,56,,,M,,M,,,100.55,,29,,,,NA
2018-07-02 23:00,2018,7,2,23:00,23.7,,14.6,,57,,,M,,M,,,100.61,,27,,,,NA
2018-07-03 0:00,2018,7,3,0:00,22.8,,14.3,,59,,,M,,M,,,100.63,,26,,,,NA
2018-07-03 1:00,2018,7,3,1:00,21.2,,13.9,,63,,,M,,M,,,100.66,,25,,,,NA
2018-07-03 2:00,2018,7,3,2:00,20.4,,14.8,,70,,,M,,M,,,100.7,,,,,,NA
2018-07-03 3:00,2018,7,3,3:00,19.8,,14.5,,71,,,M,,M,,,100.73,,,,,,NA
2018-07-03 4:00,2018,7,3,4:00,19.4,,14.6,,74,,,M,,M,,,100.78,,,,,,NA
2018-07-03 5:00,2018,7,3,5:00,19.2,,14.5,,74,,,M,,M,,,100.84,,,,,,NA
2018-07-03 6:00,2018,7,3,6:00,20.2,,15.1,,73,,,M,,M,,,100.92,,,,,,NA
2018-07-03 7:00,2018,7,3,7:00,23.3,,13.1,,53,,,M,,M,,,100.97,,26,,,,NA
2018-07-03 8:00,2018,7,3,8:00,25.3,,13.5,,48,,,M,,M,,,101,,28,,,,NA
2018-07-03 9:00,2018,7,3,9:00,25.2,,12.8,,46,,,M,,M,,,101.07,,28,,,,NA
2018-07-03 10:00,2018,7,3,10:00,25.3,,12.7,,46,,,M,,M,,,101.1,,28,,,,NA
2018-07-03 11:00,2018,7,3,11:00,26.6,,14.1,,46,,,M,,M,,,101.12,,30,,,,NA
2018-07-03 12:00,2018,7,3,12:00,26.3,,11.7,,40,,,M,,M,,,101.15,,28,,,,NA
2018-07-03 13:00,2018,7,3,13:00,27.7,,12.9,,40,,,M,,M,,,101.13,,30,,,,NA
2018-07-03 14:00,2018,7,3,14:00,28.3,,11.2,,35,,,M,,M,,,101.12,,30,,,,NA
2018-07-03 15:00,2018,7,3,15:00,29.1,,11.8,,34,,,M,,M,,,101.08,,31,,,,NA
2018-07-03 16:00,2018,7,3,16:00,29.3,,11.9,,34,,,M,,M,,,101.07,,32,,,,NA
2018-07-03 17:00,2018,7,3,17:00,28.6,,10.6,,33,,,M,,M,,,101.02,,30,,,,NA
2018-07-03 18:00,2018,7,3,18:00,29,,9.1,,29,,,M,,M,,,101.01,,30,,,,NA
2018-07-03 19:00,2018,7,3,19:00,28.1,,10.3,,33,,,M,,M,,,100.98,,30,,,,NA
2018-07-03 20:00,2018,7,3,20:00,26.9,,10.3,,35,,,M,,M,,,101.04,,28,,,,NA
2018-07-03 21:00,2018,7,3,21:00,25.8,,12.1,,42,,,M,,M,,,101.08,,28,,,,NA
2018-07-03 22:00,2018,7,3,22:00,25.3,,12.1,,44,,,M,,M,,,101.1,,28,,,,NA
2018-07-03 23:00,2018,7,3,23:00,24.5,,12.3,,46,,,M,,M,,,101.09,,27,,,,NA
2018-07-04 0:00,2018,7,4,0:00,24.4,,12.7,,48,,,M,,M,,,101.09,,27,,,,NA
2018-07-04 1:00,2018,7,4,1:00,23.8,,12.8,,50,,,M,,M,,,101.06,,26,,,,NA
2018-07-04 2:00,2018,7,4,2:00,21.6,,12.9,,58,,,M,,M,,,101.06,,,,,,NA
2018-07-04 3:00,2018,7,4,3:00,22.4,,13.4,,57,,,M,,M,,,101.06,,25,,,,NA
2018-07-04 4:00,2018,7,4,4:00,22.4,,13,,55,,,M,,M,,,101.06,,25,,,,NA
2018-07-04 5:00,2018,7,4,5:00,22,,13.2,,57,,,M,,M,,,101.11,,25,,,,NA
2018-07-04 6:00,2018,7,4,6:00,22.7,,13.6,,56,,,M,,M,,,101.18,,26,,,,NA
2018-07-04 7:00,2018,7,4,7:00,24.1,,13.9,,53,,,M,,M,,,101.18,,27,,,,NA
2018-07-04 8:00,2018,7,4,8:00,25.7,,11.6,,41,,,M,,M,,,101.2,,28,,,,NA
2018-07-04 9:00,2018,7,4,9:00,26.9,,12.2,,40,,,M,,M,,,101.2,,29,,,,NA
2018-07-04 10:00,2018,7,4,10:00,27.5,,12,,38,,,M,,M,,,101.21,,30,,,,NA
2018-07-04 11:00,2018,7,4,11:00,27.8,,10.3,,34,,,M,,M,,,101.22,,29,,,,NA
2018-07-04 12:00,2018,7,4,12:00,29,,11.6,,34,,,M,,M,,,101.19,,31,,,,NA
2018-07-04 13:00,2018,7,4,13:00,30.1,,11.8,,33,,,M,,M,,,101.12,,32,,,,NA
2018-07-04 14:00,2018,7,4,14:00,30.7,,12,,32,,,M,,M,,,101.05,,33,,,,NA
2018-07-04 15:00,2018,7,4,15:00,31.5,,12.6,,32,,,M,,M,,,101.02,,34,,,,NA
2018-07-04 16:00,2018,7,4,16:00,32.2,,14.1,,33,,,M,,M,,,100.98,,36,,,,NA
2018-07-04 17:00,2018,7,4,17:00,29.3,,12.3,,35,,,M,,M,,,100.97,,32,,,,NA
2018-07-04 18:00,2018,7,4,18:00,27.8,,14.4,,44,,,M,,M,,,100.98,,31,,,,NA
2018-07-04 19:00,2018,7,4,19:00,26.8,,15.1,,49,,,M,,M,,,100.99,,31,,,,NA
2018-07-04 20:00,2018,7,4,20:00,26.3,,15.3,,51,,,M,,M,,,100.99,,30,,,,NA
2018-07-04 21:00,2018,7,4,21:00,25.8,,14.8,,51,,,M,,M,,,101.02,,30,,,,NA
2018-07-04 22:00,2018,7,4,22:00,25.1,,15,,54,,,M,,M,,,101.05,,29,,,,NA
2018-07-04 23:00,2018,7,4,23:00,24.9,,15.8,,57,,,M,,M,,,101.01,,29,,,,NA
2018-07-05 0:00,2018,7,5,0:00,24.7,,16,,58,,,M,,M,,,100.92,,29,,,,NA
2018-07-05 1:00,2018,7,5,1:00,24.2,,16.4,,62,,,M,,M,,,100.9,,29,,,,NA
2018-07-05 2:00,2018,7,5,2:00,23.8,,16.5,,64,,,M,,M,,,100.89,,29,,,,NA
