Date/Time,Year,Month,Day,Time,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
2018-09-01 0:00,2018,9,1,0:00,19.2,,15.3,,78,,,M,,M,,,100.77,,,,,,NA
2018-09-01 1:00,2018,9,1,1:00,17.8,,14.7,,82,,,M,,M,,,100.8,,,,,,NA
2018-09-01 2:00,2018,9,1,2:00,17.6,,14.9,,84,,,M,,M,,,100.76,,,,,,NA
2018-09-01 3:00,2018,9,1,3:00,17.9,,15.2,,84,,,M,,M,,,100.75,,,,,,NA
2018-09-01 4:00,2018,9,1,4:00,17.9,,15.3,,85,,,M,,M,,,100.74,,,,,,NA
2018-09-01 5:00,2018,9,1,5:00,17.3,,14.8,,86,,,M,,M,,,100.72,,,,,,NA
2018-09-01 6:00,2018,9,1,6:00,19,,17.1,,89,,,M,,M,,,100.74,,,,,,NA
2018-09-01 7:00,2018,9,1,7:00,19.2,,17.6,,90,,,M,,M,,,100.77,,,,,,NA
2018-09-01 8:00,2018,9,1,8:00,20,,18.2,,90,,,M,,M,,,100.78,,26,,,,NA
2018-09-01 9:00,2018,9,1,9:00,22.3,,18.1,,77,,,M,,M,,,100.81,,28,,,,NA
2018-09-01 10:00,2018,9,1,10:00,23.6,,18.7,,74,,,M,,M,,,100.85,,30,,,,NA
2018-09-01 11:00,2018,9,1,11:00,24.7,,19.5,,73,,,M,,M,,,100.8,,32,,,,NA
2018-09-01 12:00,2018,9,1,12:00,26.1,,19.5,,67,,,M,,M,,,100.78,,33,,,,NA
2018-09-01 13:00,2018,9,1,13:00,27.3,,19.6,,63,,,M,,M,,,100.71,,35,,,,NA
2018-09-01 14:00,2018,9,1,14:00,26.5,,18.6,,62,,,M,,M,,,100.66,,33,,,,NA
2018-09-01 15:00,2018,9,1,15:00,26.7,,19.3,,64,,,M,,M,,,100.56,,34,,,,NA
2018-09-01 16:00,2018,9,1,16:00,26.4,,19.9,,68,,,M,,M,,,100.49,,34,,,,NA
2018-09-01 17:00,2018,9,1,17:00,25.2,,20.1,,74,,,M,,M,,,100.47,,33,,,,NA
2018-09-01 18:00,2018,9,1,18:00,24.5,,20.3,,77,,,M,,M,,,100.52,,32,,,,NA
2018-09-01 19:00,2018,9,1,19:00,24.2,,20.1,,78,,,M,,M,,,100.46,,32,,,,NA
2018-09-01 20:00,2018,9,1,20:00,24.3,,20.2,,78,,,M,,M,,,100.47,,32,,,,NA
2018-09-01 21:00,2018,9,1,21:00,24.3,,20.3,,79,,,M,,M,,,100.5,,32,,,,NA
2018-09-01 22:00,2018,9,1,22:00,24.3,,19.3,,74,,,M,,M,,,100.5,,31,,,,NA
2018-09-01 23:00,2018,9,1,23:00,23.8,,19.1,,75,,,M,,M,,,100.49,,31,,,,NA
2018-09-02 0:00,2018,9,2,0:00,23.3,,19.3,,78,,,M,,M,,,100.49,,30,,,,NA
2018-09-02 1:00,2018,9,2,1:00,22.9,,19.5,,81,,,M,,M,,,100.45,,30,,,,NA
2018-09-02 2:00,2018,9,2,2:00,23.2,,19.5,,80,,,M,,M,,,100.45,,30,,,,NA
2018-09-02 3:00,2018,9,2,3:00,23.3,,19.8,,81,,,M,,M,,,100.44,,31,,,,NA
2018-09-02 4:00,2018,9,2,4:00,22.9,,19.9,,83,,,M,,M,,,100.44,,30,,,,NA
2018-09-02 5:00,2018,9,2,5:00,22.7,,19.8,,84,,,M,,M,,,100.49,,30,,,,NA
2018-09-02 6:00,2018,9,2,6:00,22.5,,19.8,,85,,,M,,M,,,100.55,,30,,,,NA
2018-09-02 7:00,2018,9,2,7:00,23.4,,20.3,,83,,,M,,M,,,100.59,,31,,,,NA
2018-09-02 8:00,2018,9,2,8:00,24.1,,20.4,,80,,,M,,M,,,100.64,,32,,,,NA
2018-09-02 9:00,2018,9,2,9:00,24.7,,20.7,,79,,,M,,M,,,100.63,,33,,,,NA
2018-09-02 10:00,2018,9,2,10:00,25.3,,20.2,,73,,,M,,M,,,100.67,,33,,,,NA
2018-09-02 11:00,2018,9,2,11:00,26.3,,20.8,,72,,,M,,M,,,100.66,,35,,,,NA
2018-09-02 12:00,2018,9,2,12:00,25.2,,21.2,,78,,,M,,M,,,100.58,,34,,,,NA
2018-09-02 13:00,2018,9,2,13:00,25.3,,20.4,,74,,,M,,M,,,100.59,,33,,,,NA
2018-09-02 14:00,2018,9,2,14:00,26.1,,20.2,,70,,,M,,M,,,100.56,,34,,,,NA
2018-09-02 15:00,2018,9,2,15:00,27.1,,20.1,,66,,,M,,M,,,100.54,,35,,,,NA
2018-09-02 16:00,2018,9,2,16:00,27.6,,20.3,,64,,,M,,M,,,100.52,,35,,,,NA
2018-09-02 17:00,2018,9,2,17:00,27,,20.3,,66,,,M,,M,,,100.5,,35,,,,NA
2018-09-02 18:00,2018,9,2,18:00,26.4,,19.9,,67,,,M,,M,,,100.48,,34,,,,NA
2018-09-02 19:00,2018,9,2,19:00,25,,19.8,,73,,,M,,M,,,100.49,,32,,,,NA
2018-09-02 20:00,2018,9,2,20:00,24.6,,19.6,,74,,,M,,M,,,100.53,,32,,,,NA
2018-09-02 21:00,2018,9,2,21:00,24.3,,19.6,,75,,,M,,M,,,100.6,,32,,,,NA
2018-09-02 22:00,2018,9,2,22:00,24,,20.1,,79,,,M,,M,,,100.64,,32,,,,NA
