Date/Time,Year,Month,Day,Time,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
2018-10-01 0:00,2018,10,1,0:00,10.6,,9,,90,,,M,,M,,,101.1,,,,,,NA
2018-10-01 1:00,2018,10,1,1:00,10.2,,8.6,,90,,,M,,M,,,101.11,,,,,,NA
2018-10-01 2:00,2018,10,1,2:00,10,,8.4,,90,,,M,,M,,,101.16,,,,,,NA
2018-10-01 3:00,2018,10,1,3:00,9.7,,8.2,,90,,,M,,M,,,101.14,,,,,,NA
2018-10-01 4:00,2018,10,1,4:00,9.3,,7.6,,89,,,M,,M,,,101.21,,,,,,NA
2018-10-01 5:00,2018,10,1,5:00,9.4,,7.6,,88,,,M,,M,,,101.25,,,,,,NA
2018-10-01 6:00,2018,10,1,6:00,9.3,,7.2,,87,,,M,,M,,,101.31,,,,,,NA
2018-10-01 7:00,2018,10,1,7:00,9.2,,7.1,,87,,,M,,M,,,101.31,,,,,,NA
2018-10-01 8:00,2018,10,1,8:00,9.1,,6.7,,85,,,M,,M,,,101.42,,,,,,NA
2018-10-01 9:00,2018,10,1,9:00,8.4,,5.9,,84,,,M,,M,,,101.51,,,,,,NA
2018-10-01 10:00,2018,10,1,10:00,9,,5.2,,77,,,M,,M,,,101.46,,,,,,NA
2018-10-01 11:00,2018,10,1,11:00,9.3,,4.7,,73,,,M,,M,,,101.47,,,,,,NA
2018-10-01 12:00,2018,10,1,12:00,10,,4.7,,70,,,M,,M,,,101.46,,,,,,NA
2018-10-01 13:00,2018,10,1,13:00,10.6,,4.6,,67,,,M,,M,,,101.42,,,,,,NA
2018-10-01 14:00,2018,10,1,14:00,10.7,,5.1,,68,,,M,,M,,,101.36,,,,,,NA
2018-10-01 15:00,2018,10,1,15:00,10.4,,6.7,,78,,,M,,M,,,101.34,,,,,,NA
2018-10-01 16:00,2018,10,1,16:00,9.9,,8,,88,,,M,,M,,,101.29,,,,,,NA
2018-10-01 17:00,2018,10,1,17:00,10,,8.1,,88,,,M,,M,,,101.23,,,,,,NA
2018-10-01 18:00,2018,10,1,18:00,10.6,,8.3,,86,,,M,,M,,,101.13,,,,,,NA
2018-10-01 19:00,2018,10,1,19:00,11.8,,8.3,,79,,,M,,M,,,101.11,,,,,,NA
2018-10-01 20:00,2018,10,1,20:00,12.1,,8.3,,77,,,M,,M,,,101.06,,,,,,NA
2018-10-01 21:00,2018,10,1,21:00,12.5,,9,,79,,,M,,M,,,100.98,,,,,,NA
2018-10-01 22:00,2018,10,1,22:00,12.8,,9.3,,80,,,M,,M,,,100.91,,,,,,NA
2018-10-01 23:00,2018,10,1,23:00,13.2,,10,,81,,,M,,M,,,100.79,,,,,,NA
2018-10-02 0:00,2018,10,2,0:00,13.3,,10,,81,,,M,,M,,,100.73,,,,,,NA
2018-10-02 1:00,2018,10,2,1:00,11.2,,7.4,,77,,,M,,M,,,100.67,,,,,,NA
2018-10-02 2:00,2018,10,2,2:00,11.4,,8,,79,,,M,,M,,,100.56,,,,,,NA
2018-10-02 3:00,2018,10,2,3:00,10.7,,8,,83,,,M,,M,,,100.59,,,,,,NA
2018-10-02 4:00,2018,10,2,4:00,10,,8.1,,88,,,M,,M,,,100.49,,,,,,NA
2018-10-02 5:00,2018,10,2,5:00,10.2,,8.6,,90,,,M,,M,,,100.42,,,,,,NA
2018-10-02 6:00,2018,10,2,6:00,11.1,,9.5,,90,,,M,,M,,,100.47,,,,,,NA
2018-10-02 7:00,2018,10,2,7:00,11.2,,9.5,,90,,,M,,M,,,100.38,,,,,,NA
2018-10-02 8:00,2018,10,2,8:00,10.8,,9.2,,90,,,M,,M,,,100.37,,,,,,NA
2018-10-02 9:00,2018,10,2,9:00,11.1,,9.5,,90,,,M,,M,,,100.34,,,,,,NA
2018-10-02 10:00,2018,10,2,10:00,11.8,,10.1,,89,,,M,,M,,,100.32,,,,,,NA
2018-10-02 11:00,2018,10,2,11:00,12,,10.3,,89,,,M,,M,,,100.24,,,,,,NA
2018-10-02 12:00,2018,10,2,12:00,12.8,,11.3,,90,,,M,,M,,,100.18,,,,,,NA
2018-10-02 13:00,2018,10,2,13:00,13.5,,12.1,,91,,,M,,M,,,100.07,,,,,,NA
2018-10-02 14:00,2018,10,2,14:00,13.8,,12.4,,91,,,M,,M,,,100.02,,,,,,NA
2018-10-02 15:00,2018,10,2,15:00,13.9,,12.4,,91,,,M,,M,,,100.02,,,,,,NA
2018-10-02 16:00,2018,10,2,16:00,13.9,,12.5,,91,,,M,,M,,,100.02,,,,,,NA
2018-10-02 17:00,2018,10,2,17:00,13.4,,11.9,,90,,,M,,M,,,100.09,,,,,,NA
2018-10-02 18:00,2018,10,2,18:00,13,,11.2,,89,,,M,,M,,,100.15,,,,,,NA
2018-10-02 19:00,2018,10,2,19:00,12.5,,10.4,,87,,,M,,M,,,100.26,,,,,,NA
