Date/Time,Year,Month,Day,Time,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
2018-12-01 0:00,2018,12,1,0:00,2.7,,-1.4,,75,,,M,,M,,,100.74,,,,,,NA
2018-12-01 1:00,2018,12,1,1:00,2.6,,-1.3,,75,,,M,,M,,,100.68,,,,,,NA
2018-12-01 2:00,2018,12,1,2:00,2.5,,-1.4,,76,,,M,,M,,,100.71,,,,,,NA
2018-12-01 3:00,2018,12,1,3:00,1.7,,-2.2,,75,,,M,,M,,,100.78,,,,,,NA
2018-12-01 4:00,2018,12,1,4:00,1.6,,-2,,77,,,M,,M,,,100.77,,,,,,NA
2018-12-01 5:00,2018,12,1,5:00,1.9,,-2.2,,74,,,M,,M,,,100.79,,,,,,NA
2018-12-01 6:00,2018,12,1,6:00,2.3,,-1.9,,74,,,M,,M,,,100.78,,,,,,NA
2018-12-01 7:00,2018,12,1,7:00,2.6,,-1.6,,74,,,M,,M,,,100.77,,,,,,NA
2018-12-01 8:00,2018,12,1,8:00,2.8,,-1.4,,74,,,M,,M,,,100.73,,,,,,NA
2018-12-01 9:00,2018,12,1,9:00,2.9,,-0.8,,76,,,M,,M,,,100.68,,,,,,NA
2018-12-01 10:00,2018,12,1,10:00,3.2,,0,,80,,,M,,M,,,100.62,,,,,,NA
2018-12-01 11:00,2018,12,1,11:00,3.6,,0.1,,78,,,M,,M,,,100.66,,,,,,NA
2018-12-01 12:00,2018,12,1,12:00,3.3,,-0.2,,78,,,M,,M,,,100.56,,,,,,NA
2018-12-01 13:00,2018,12,1,13:00,3.6,,-0.5,,74,,,M,,M,,,100.43,,,,,,NA
2018-12-01 14:00,2018,12,1,14:00,3.6,,-0.6,,74,,,M,,M,,,100.31,,,,,,NA
2018-12-01 15:00,2018,12,1,15:00,3.6,,-0.6,,74,,,M,,M,,,100.19,,,,,,NA
2018-12-01 16:00,2018,12,1,16:00,3.6,,0.2,,79,,,M,,M,,,100.16,,,,,,NA
2018-12-01 17:00,2018,12,1,17:00,3.8,,0.2,,78,,,M,,M,,,100.12,,,,,,NA
2018-12-01 18:00,2018,12,1,18:00,3.8,,0.5,,79,,,M,,M,,,100.12,,,,,,NA
2018-12-01 19:00,2018,12,1,19:00,3.1,,1.2,,87,,,M,,M,,,99.97,,,,,,NA
2018-12-01 20:00,2018,12,1,20:00,3.3,,1.2,,86,,,M,,M,,,99.87,,,,,,NA
2018-12-01 21:00,2018,12,1,21:00,3.6,,1.4,,85,,,M,,M,,,99.75,,,,,,NA
2018-12-01 22:00,2018,12,1,22:00,3.7,,1.4,,85,,,M,,M,,,99.6,,,,,,NA
2018-12-01 23:00,2018,12,1,23:00,3.5,,2.1,,91,,,M,,M,,,99.5,,,,,,NA
2018-12-02 0:00,2018,12,2,0:00,3.6,,2.6,,93,,,M,,M,,,99.44,,,,,,NA
2018-12-02 1:00,2018,12,2,1:00,3.8,,2.9,,94,,,M,,M,,,99.32,,,,,,NA
2018-12-02 2:00,2018,12,2,2:00,4,,3.1,,94,,,M,,M,,,99.2,,,,,,NA
2018-12-02 3:00,2018,12,2,3:00,4.2,,3.3,,94,,,M,,M,,,99.1,,,,,,NA
2018-12-02 4:00,2018,12,2,4:00,4.5,,3.6,,94,,,M,,M,,,98.98,,,,,,NA
2018-12-02 5:00,2018,12,2,5:00,4.7,,3.7,,94,,,M,,M,,,98.86,,,,,,NA
2018-12-02 6:00,2018,12,2,6:00,4.8,,3.8,,93,,,M,,M,,,98.77,,,,,,NA
2018-12-02 7:00,2018,12,2,7:00,5,,4.1,,94,,,M,,M,,,98.71,,,,,,NA
2018-12-02 8:00,2018,12,2,8:00,5.3,,4.4,,94,,,M,,M,,,98.62,,,,,,NA
2018-12-02 9:00,2018,12,2,9:00,5.7,,4.7,,93,,,M,,M,,,98.57,,,,,,NA
2018-12-02 10:00,2018,12,2,10:00,6,,4.8,,92,,,M,,M,,,98.55,,,,,,NA
2018-12-02 11:00,2018,12,2,11:00,6.5,,4.9,,90,,,M,,M,,,98.51,,,,,,NA
2018-12-02 12:00,2018,12,2,12:00,7.3,,5.5,,88,,,M,,M,,,98.43,,,,,,NA
2018-12-02 13:00,2018,12,2,13:00,8.6,,6.1,,85,,,M,,M,,,98.37,,,,,,NA
2018-12-02 14:00,2018,12,2,14:00,9.8,,6.6,,80,,,M,,M,,,98.33,,,,,,NA
2018-12-02 15:00,2018,12,2,15:00,10.7,,7.6,,81,,,M,,M,,,98.29,,,,,,NA
2018-12-02 16:00,2018,12,2,16:00,10.4,,7.1,,80,,,M,,M,,,98.28,,,,,,NA
2018-12-02 17:00,2018,12,2,17:00,9.3,,6.9,,85,,,M,,M,,,98.24,,,,,,NA
2018-12-02 18:00,2018,12,2,18:00,9.6,,7.4,,86,,,M,,M,,,98.22,,,,,,NA
2018-12-02 19:00,2018,12,2,19:00,8.9,,6.5,,85,,,M,,M,,,98.18,,,,,,NA
2018-12-02 20:00,2018,12,2,20:00,9.4,,7.2,,86,,,M,,M,,,98.28,,,,,,NA
2018-12-02 21:00,2018,12,2,21:00,9.4,,7.6,,89,,,M,,M,,,98.23,,,,,,NA
2018-12-02 22:00,2018,12,2,22:00,8.1,,6.5,,90,,,M,,M,,,98.28,,,,,,NA
2018-12-02 23:00,2018,12,2,23:00,7.8,,6.4,,91,,,M,,M,,,98.31,,,,,,NA
2018-12-03 0:00,2018,12,3,0:00,7.9,,6.7,,92,,,M,,M,,,98.27,,,,,,NA
2018-12-03 1:00,2018,12,3,1:00,7.6,,6.3,,91,,,M,,M,,,98.27,,,,,,NA
2018-12-03 2:00,2018,12,3,2:00,7,,5.8,,92,,,M,,M,,,98.31,,,,,,NA
2018-12-03 3:00,2018,12,3,3:00,6.3,,3,,79,,,M,,M,,,98.43,,,,,,NA
2018-12-03 4:00,2018,12,3,4:00,5.6,,3.2,,84,,,M,,M,,,98.45,,,,,,NA
2018-12-03 5:00,2018,12,3,5:00,5.5,,2.5,,81,,,M,,M,,,98.52,,,,,,NA
2018-12-03 6:00,2018,12,3,6:00,5.7,,1.9,,77,,,M,,M,,,98.58,,,,,,NA
2018-12-03 7:00,2018,12,3,7:00,5.5,,1.8,,77,,,M,,M,,,98.67,,,,,,NA
2018-12-03 8:00,2018,12,3,8:00,3.7,,0.2,,78,,,M,,M,,,98.85,,,,,,NA
2018-12-03 9:00,2018,12,3,9:00,3.1,,-1.3,,73,,,M,,M,,,98.99,,,,,,NA
2018-12-03 10:00,2018,12,3,10:00,2.3,,-2,,73,,,M,,M,,,99.12,,,,,,NA
2018-12-03 11:00,2018,12,3,11:00,1.8,,-2,,76,,,M,,M,,,99.25,,,,,,NA
2018-12-03 12:00,2018,12,3,12:00,1.8,,-2.5,,73,,,M,,M,,,99.26,,,,,,NA
2018-12-03 13:00,2018,12,3,13:00,1.6,,-3.4,,69,,,M,,M,,,99.27,,,,,,NA
2018-12-03 14:00,2018,12,3,14:00,1.7,,-3,,71,,,M,,M,,,99.38,,,,,,NA
2018-12-03 15:00,2018,12,3,15:00,1.4,,-2.3,,76,,,M,,M,,,99.48,,,,,,NA
2018-12-03 16:00,2018,12,3,16:00,1,,-1.6,,83,,,M,,M,,,99.58,,,,,,NA
2018-12-03 17:00,2018,12,3,17:00,0.8,,-1.2,,87,,,M,,M,,,99.69,,,,,,NA
2018-12-03 18:00,2018,12,3,18:00,1,,-1.8,,82,,,M,,M,,,99.79,,,,,,NA
2018-12-03 19:00,2018,12,3,19:00,0.9,,-2.8,,76,,,M,,M,,,99.9,,,,,,NA
2018-12-03 20:00,2018,12,3,20:00,0.8,,-3.6,,73,,,M,,M,,,99.97,,,,,,NA
2018-12-03 21:00,2018,12,3,21:00,0.4,,-4.4,,70,,,M,,M,,,100.03,,,,,,NA
2018-12-03 22:00,2018,12,3,22:00,0,,-5.3,,67,,,M,,M,,,100.08,,,,,,NA
2018-12-03 23:00,2018,12,3,23:00,-0.5,,-6.3,,65,,,M,,M,,,100.11,,,,,,NA
2018-12-04 0:00,2018,12,4,0:00,-0.9,,-6.3,,67,,,M,,M,,,100.16,,,,,,NA
2018-12-04 1:00,2018,12,4,1:00,-0.9,,-5.6,,70,,,M,,M,,,100.18,,,,,,NA
2018-12-04 2:00,2018,12,4,2:00,-0.9,,-5.9,,69,,,M,,M,,,100.23,,,,,,NA
2018-12-04 3:00,2018,12,4,3:00,-1.5,,-6.6,,68,,,M,,M,,,100.34,,,,,,NA
2018-12-04 4:00,2018,12,4,4:00,-2.4,,-7.2,,70,,,M,,M,,,100.38,,,,,,NA
2018-12-04 5:00,2018,12,4,5:00,-2.5,,-7.1,,71,,,M,,M,,,100.45,,,,,,NA
2018-12-04 6:00,2018,12,4,6:00,-3.1,,-7.5,,72,,,M,,M,,,100.51,,,,,,NA
2018-12-04 7:00,2018,12,4,7:00,-3,,-8.3,,67,,,M,,M,,,100.58,,,,,,NA
2018-12-04 8:00,2018,12,4,8:00,-3.3,,-8.8,,66,,,M,,M,,,100.65,,,,,,NA
2018-12-04 9:00,2018,12,4,9:00,-3.5,,-8.9,,66,,,M,,M,,,100.69,,,,,,NA
2018-12-04 10:00,2018,12,4,10:00,-3.3,,-9.1,,64,,,M,,M,,,100.73,,,,,,NA
2018-12-04 11:00,2018,12,4,11:00,-2.6,,-9.2,,60,,,M,,M,,,100.72,,,,,,NA
2018-12-04 12:00,2018,12,4,12:00,-2.2,,-9.3,,58,,,M,,M,,,100.66,,,,,,NA
2018-12-04 13:00,2018,12,4,13:00,-0.9,,-9.1,,54,,,M,,M,,,100.6,,,,,,NA
2018-12-04 14:00,2018,12,4,14:00,-0.9,,-9.2,,53,,,M,,M,,,100.54,,,,,,NA
2018-12-04 15:00,2018,12,4,15:00,-0.4,,-9.4,,50,,,M,,M,,,100.5,,,,,,NA
2018-12-04 16:00,2018,12,4,16:00,-0.9,,-7.3,,62,,,M,,M,,,100.51,,,,,,NA
2018-12-04 17:00,2018,12,4,17:00,-1.2,,-6.7,,66,,,M,,M,,,100.51,,,,,,NA
2018-12-04 18:00,2018,12,4,18:00,-1.5,,-6.8,,67,,,M,,M,,,100.52,,,,,,NA
2018-12-04 19:00,2018,12,4,19:00,-1.7,,-6.5,,70,,,M,,M,,,100.53,,,,,,NA
2018-12-04 20:00,2018,12,4,20:00,-1.4,,-6.4,,69,,,M,,M,,,100.54,,,,,,NA
2018-12-04 21:00,2018,12,4,21:00,-1.7,,-6.6,,69,,,M,,M,,,100.53,,,,,,NA
2018-12-04 22:00,2018,12,4,22:00,-1.9,,-6.5,,71,,,M,,M,,,100.52,,,,,,NA
2018-12-04 23:00,2018,12,4,23:00,-1.9,,-6.7,,70,,,M,,M,,,100.49,,,,,,NA
2018-12-05 0:00,2018,12,5,0:00,-2.5,,-7.5,,68,,,M,,M,,,100.48,,,,,,NA
2018-12-05 1:00,2018,12,5,1:00,-2.9,,-8,,68,,,M,,M,,,100.44,,,,,,NA
2018-12-05 2:00,2018,12,5,2:00,-3.1,,-7.8,,70,,,M,,M,,,100.42,,,,,,NA
2018-12-05 3:00,2018,12,5,3:00,-3.3,,-7.6,,72,,,M,,M,,,100.38,,,,,,NA
2018-12-05 4:00,2018,12,5,4:00,-4,,-8,,74,,,M,,M,,,100.36,,,,,,NA
2018-12-05 5:00,2018,12,5,5:00,-4.4,,-7.8,,77,,,M,,M,,,100.35,,,,,,NA
2018-12-05 6:00,2018,12,5,6:00,-4.3,,-7.5,,78,,,M,,M,,,100.38,,,,,,NA
2018-12-05 7:00,2018,12,5,7:00,-4.2,,-7.5,,78,,,M,,M,,,100.4,,,,,,NA
2018-12-05 8:00,2018,12,5,8:00,-3.2,,-7.1,,74,,,M,,M,,,100.38,,,,,,NA
2018-12-05 9:00,2018,12,5,9:00,-2.8,,-7.1,,72,,,M,,M,,,100.35,,,,,,NA
2018-12-05 10:00,2018,12,5,10:00,-1.2,,-6.1,,69,,,M,,M,,,100.37,,,,,,NA
2018-12-05 11:00,2018,12,5,11:00,0.2,,-6.2,,62,,,M,,M,,,100.35,,,,,,NA
2018-12-05 12:00,2018,12,5,12:00,1,,-6.2,,59,,,M,,M,,,100.31,,,,,,NA
2018-12-05 13:00,2018,12,5,13:00,1.7,,-6,,57,,,M,,M,,,100.28,,,,,,NA
2018-12-05 14:00,2018,12,5,14:00,1.9,,-7.9,,48,,,M,,M,,,100.28,,,,,,NA
2018-12-05 15:00,2018,12,5,15:00,1.8,,-7.9,,49,,,M,,M,,,100.28,,,,,,NA
2018-12-05 16:00,2018,12,5,16:00,1.5,,-7.7,,50,,,M,,M,,,100.32,,,,,,NA
2018-12-05 17:00,2018,12,5,17:00,0.8,,-7.7,,53,,,M,,M,,,100.32,,,,,,NA
2018-12-05 18:00,2018,12,5,18:00,0.8,,-7.6,,53,,,M,,M,,,100.36,,,,,,NA
2018-12-05 19:00,2018,12,5,19:00,0.7,,-7.6,,54,,,M,,M,,,100.4,,,,,,NA
2018-12-05 20:00,2018,12,5,20:00,0.8,,-7.3,,55,,,M,,M,,,100.39,,,,,,NA
2018-12-05 21:00,2018,12,5,21:00,0.8,,-7.7,,53,,,M,,M,,,100.38,,,,,,NA
2018-12-05 22:00,2018,12,5,22:00,0.6,,-6.8,,57,,,M,,M,,,100.37,,,,,,NA
2018-12-05 23:00,2018,12,5,23:00,0.6,,-5.9,,62,,,M,,M,,,100.37,,,,,,NA
2018-12-06 0:00,2018,12,6,0:00,0.4,,-4.9,,67,,,M,,M,,,100.34,,,,,,NA
2018-12-06 1:00,2018,12,6,1:00,0.4,,-4.3,,71,,,M,,M,,,100.34,,,,,,NA
2018-12-06 2:00,2018,12,6,2:00,0,,-6,,64,,,M,,M,,,100.35,,,,,,NA
2018-12-06 3:00,2018,12,6,3:00,-0.2,,-6.1,,64,,,M,,M,,,100.37,,,,,,NA
2018-12-06 4:00,2018,12,6,4:00,-0.6,,-5,,72,,,M,,M,,,100.32,,,,,,NA
2018-12-06 5:00,2018,12,6,5:00,-0.4,,-6.2,,65,,,M,,M,,,100.3,,,,,,NA
2018-12-06 6:00,2018,12,6,6:00,-0.8,,-5.7,,70,,,M,,M,,,100.31,,,,,,NA
2018-12-06 7:00,2018,12,6,7:00,-1.1,,-5.6,,71,,,M,,M,,,100.34,,,,,,NA
2018-12-06 8:00,2018,12,6,8:00,-1.1,,-5.1,,74,,,M,,M,,,100.33,,,,,,NA
2018-12-06 9:00,2018,12,6,9:00,-0.5,,-4.3,,76,,,M,,M,,,100.31,,,,,,NA
2018-12-06 10:00,2018,12,6,10:00,0.4,,-3.7,,74,,,M,,M,,,100.28,,,,,,NA
2018-12-06 11:00,2018,12,6,11:00,1.7,,-3.4,,68,,,M,,M,,,100.23,,,,,,NA
2018-12-06 12:00,2018,12,6,12:00,2,,-3.3,,68,,,M,,M,,,100.19,,,,,,NA
2018-12-06 13:00,2018,12,6,13:00,2.2,,-3.4,,66,,,M,,M,,,100.14,,,,,,NA
2018-12-06 14:00,2018,12,6,14:00,2.1,,-2.7,,70,,,M,,M,,,100.1,,,,,,NA
2018-12-06 15:00,2018,12,6,15:00,1.6,,-1.9,,78,,,M,,M,,,100.08,,,,,,NA
2018-12-06 16:00,2018,12,6,16:00,1.3,,-1.4,,82,,,M,,M,,,100.12,,,,,,NA
2018-12-06 17:00,2018,12,6,17:00,1.1,,-2.6,,76,,,M,,M,,,100.19,,,,,,NA
2018-12-06 18:00,2018,12,6,18:00,0.7,,-3.2,,75,,,M,,M,,,100.29,,,,,,NA
2018-12-06 19:00,2018,12,6,19:00,0.2,,-4.8,,69,,,M,,M,,,100.38,,,,,,NA
2018-12-06 20:00,2018,12,6,20:00,-0.6,,-4.5,,75,,,M,,M,,,100.5,,,,,,NA
2018-12-06 21:00,2018,12,6,21:00,-0.9,,-5.9,,69,,,M,,M,,,100.58,,,,,,NA
2018-12-06 22:00,2018,12,6,22:00,-1.4,,-7.4,,64,,,M,,M,,,100.69,,,,,,NA
2018-12-06 23:00,2018,12,6,23:00,-2.3,,-9.3,,59,,,M,,M,,,100.79,,,,,,NA
2018-12-07 0:00,2018,12,7,0:00,-2.8,,-9.1,,62,,,M,,M,,,100.9,,,,,,NA
2018-12-07 1:00,2018,12,7,1:00,-3.2,,-8.3,,68,,,M,,M,,,100.97,,,,,,NA
2018-12-07 2:00,2018,12,7,2:00,-3.4,,-7.6,,73,,,M,,M,,,101.06,,,,,,NA
2018-12-07 3:00,2018,12,7,3:00,-4.1,,-7.9,,75,,,M,,M,,,101.17,,,,,,NA
2018-12-07 4:00,2018,12,7,4:00,-5,,-7.8,,80,,,M,,M,,,101.24,,,,,,NA
2018-12-07 5:00,2018,12,7,5:00,-6.1,,-10.3,,72,,,M,,M,,,101.36,,,,,,NA
2018-12-07 6:00,2018,12,7,6:00,-7,,-11.3,,72,,,M,,M,,,101.42,,,,,,NA
2018-12-07 7:00,2018,12,7,7:00,-7.5,,-11.9,,71,,,M,,M,,,101.51,,,,,,NA
2018-12-07 8:00,2018,12,7,8:00,-7.4,,-11.9,,70,,,M,,M,,,101.58,,,,,,NA
2018-12-07 9:00,2018,12,7,9:00,-7.2,,-12.2,,67,,,M,,M,,,101.69,,,,,,NA
2018-12-07 10:00,2018,12,7,10:00,-6.6,,-12.2,,65,,,M,,M,,,101.75,,,,,,NA
2018-12-07 11:00,2018,12,7,11:00,-5.2,,-12.2,,58,,,M,,M,,,101.77,,,,,,NA
2018-12-07 12:00,2018,12,7,12:00,-5,,-13.3,,52,,,M,,M,,,101.76,,,,,,NA
2018-12-07 13:00,2018,12,7,13:00,-4.5,,-12.7,,53,,,M,,M,,,101.69,,,,,,NA
2018-12-07 14:00,2018,12,7,14:00,-4.2,,-13,,50,,,M,,M,,,101.65,,,,,,NA
2018-12-07 15:00,2018,12,7,15:00,-3.9,,-13.6,,47,,,M,,M,,,101.66,,,,,,NA
2018-12-07 16:00,2018,12,7,16:00,-3.5,,-14.3,,43,,,M,,M,,,101.66,,,,,,NA
2018-12-07 17:00,2018,12,7,17:00,-3.5,,-14.2,,43,,,M,,M,,,101.67,,,,,,NA
2018-12-07 18:00,2018,12,7,18:00,-3.6,,-11.1,,56,,,M,,M,,,101.66,,,,,,NA
2018-12-07 19:00,2018,12,7,19:00,-4.1,,-10.5,,61,,,M,,M,,,101.65,,,,,,NA
2018-12-07 20:00,2018,12,7,20:00,-3.8,,-10.4,,60,,,M,,M,,,101.61,,,,,,NA
2018-12-07 21:00,2018,12,7,21:00,-3.4,,-10.1,,60,,,M,,M,,,101.59,,,,,,NA
2018-12-07 22:00,2018,12,7,22:00,-2.9,,-11,,54,,,M,,M,,,101.54,,,,,,NA
2018-12-07 23:00,2018,12,7,23:00,-2.6,,-11.1,,52,,,M,,M,,,101.5,,,,,,NA
2018-12-08 0:00,2018,12,8,0:00,-2.6,,-10,,56,,,M,,M,,,101.46,,,,,,NA
2018-12-08 1:00,2018,12,8,1:00,-2.4,,-8.6,,62,,,M,,M,,,101.41,,,,,,NA
2018-12-08 2:00,2018,12,8,2:00,-2.6,,-6.3,,76,,,M,,M,,,101.43,,,,,,NA
2018-12-08 3:00,2018,12,8,3:00,-3.8,,-5.9,,86,,,M,,M,,,101.47,,,,,,NA
2018-12-08 4:00,2018,12,8,4:00,-3.4,,-5,,88,,,M,,M,,,101.46,,,,,,NA
2018-12-08 5:00,2018,12,8,5:00,-3.1,,-6.3,,79,,,M,,M,,,101.41,,,,,,NA
2018-12-08 6:00,2018,12,8,6:00,-2.9,,-7.6,,70,,,M,,M,,,101.51,,,,,,NA
2018-12-08 7:00,2018,12,8,7:00,-3.5,,-8.8,,67,,,M,,M,,,101.52,,,,,,NA
2018-12-08 8:00,2018,12,8,8:00,-4.2,,-8.6,,72,,,M,,M,,,101.59,,,,,,NA
2018-12-08 9:00,2018,12,8,9:00,-3,,-7.3,,72,,,M,,M,,,101.68,,,,,,NA
2018-12-08 10:00,2018,12,8,10:00,-1.2,,-6.6,,66,,,M,,M,,,101.79,,,,,,NA
2018-12-08 11:00,2018,12,8,11:00,-0.8,,-7.8,,59,,,M,,M,,,101.81,,,,,,NA
2018-12-08 12:00,2018,12,8,12:00,-0.5,,-9.2,,51,,,M,,M,,,101.78,,,,,,NA
2018-12-08 13:00,2018,12,8,13:00,-0.2,,-10.2,,47,,,M,,M,,,101.73,,,,,,NA
2018-12-08 14:00,2018,12,8,14:00,-0.2,,-9.2,,51,,,M,,M,,,101.67,,,,,,NA
2018-12-08 15:00,2018,12,8,15:00,0,,-8.3,,54,,,M,,M,,,101.67,,,,,,NA
2018-12-08 16:00,2018,12,8,16:00,0,,-8.5,,53,,,M,,M,,,101.76,,,,,,NA
2018-12-08 17:00,2018,12,8,17:00,-0.2,,-8.7,,53,,,M,,M,,,101.8,,,,,,NA
2018-12-08 18:00,2018,12,8,18:00,-0.5,,-8.2,,56,,,M,,M,,,101.86,,,,,,NA
2018-12-08 19:00,2018,12,8,19:00,-1,,-8.1,,58,,,M,,M,,,101.9,,,,,,NA
2018-12-08 20:00,2018,12,8,20:00,-1.6,,-8.7,,58,,,M,,M,,,101.9,,,,,,NA
2018-12-08 21:00,2018,12,8,21:00,-2.2,,-8.9,,60,,,M,,M,,,101.92,,,,,,NA
2018-12-08 22:00,2018,12,8,22:00,-1.3,,-8.2,,60,,,M,,M,,,101.92,,,,,,NA
2018-12-08 23:00,2018,12,8,23:00,-1.2,,-7.9,,60,,,M,,M,,,101.88,,,,,,NA
2018-12-09 0:00,2018,12,9,0:00,-1.4,,-7.1,,65,,,M,,M,,,101.82,,,,,,NA
2018-12-09 1:00,2018,12,9,1:00,-1.6,,-6.5,,69,,,M,,M,,,101.8,,,,,,NA
2018-12-09 2:00,2018,12,9,2:00,-1.8,,-7.6,,65,,,M,,M,,,101.75,,,,,,NA
2018-12-09 3:00,2018,12,9,3:00,-2.2,,-8.4,,62,,,M,,M,,,101.71,,,,,,NA
2018-12-09 4:00,2018,12,9,4:00,-2.4,,-8.7,,62,,,M,,M,,,101.62,,,,,,NA
2018-12-09 5:00,2018,12,9,5:00,-3.3,,-9.6,,62,,,M,,M,,,101.56,,,,,,NA
2018-12-09 6:00,2018,12,9,6:00,-3.5,,-9.4,,63,,,M,,M,,,101.49,,,,,,NA
2018-12-09 7:00,2018,12,9,7:00,-4,,-9.6,,65,,,M,,M,,,101.47,,,,,,NA
2018-12-09 8:00,2018,12,9,8:00,-4.4,,-9.3,,68,,,M,,M,,,101.43,,,,,,NA
2018-12-09 9:00,2018,12,9,9:00,-3.4,,-9.1,,64,,,M,,M,,,101.4,,,,,,NA
2018-12-09 10:00,2018,12,9,10:00,-2.2,,-8.9,,60,,,M,,M,,,101.35,,,,,,NA
2018-12-09 11:00,2018,12,9,11:00,-0.6,,-8.2,,56,,,M,,M,,,101.23,,,,,,NA
2018-12-09 12:00,2018,12,9,12:00,0.3,,-7.6,,56,,,M,,M,,,101.13,,,,,,NA
2018-12-09 13:00,2018,12,9,13:00,0.7,,-8.3,,51,,,M,,M,,,100.99,,,,,,NA
2018-12-09 14:00,2018,12,9,14:00,0.9,,-7.9,,52,,,M,,M,,,100.94,,,,,,NA
2018-12-09 15:00,2018,12,9,15:00,0.6,,-8.6,,50,,,M,,M,,,100.95,,,,,,NA
2018-12-09 16:00,2018,12,9,16:00,0.3,,-7.2,,57,,,M,,M,,,100.98,,,,,,NA
2018-12-09 17:00,2018,12,9,17:00,-0.8,,-6.8,,64,,,M,,M,,,100.97,,,,,,NA
2018-12-09 18:00,2018,12,9,18:00,-0.7,,-6.8,,63,,,M,,M,,,100.99,,,,,,NA
2018-12-09 19:00,2018,12,9,19:00,-0.8,,-6.5,,65,,,M,,M,,,101.01,,,,,,NA
2018-12-09 20:00,2018,12,9,20:00,-0.7,,-5.9,,68,,,M,,M,,,100.99,,,,,,NA
2018-12-09 21:00,2018,12,9,21:00,-0.6,,-5.7,,68,,,M,,M,,,100.94,,,,,,NA
2018-12-09 22:00,2018,12,9,22:00,-0.3,,-5.5,,68,,,M,,M,,,100.92,,,,,,NA
2018-12-09 23:00,2018,12,9,23:00,0,,-5.4,,67,,,M,,M,,,100.89,,,,,,NA
2018-12-10 0:00,2018,12,10,0:00,0.1,,-5.3,,67,,,M,,M,,,100.85,,,,,,NA
